,perc_white,perc_nointernet,perc_poverty,avghhsize,medianinc
count,524689.0,524689.0,524689.0,524689.0,524689.0
mean,0.37648068807114093,0.0895801295414514,0.11635508887353718,2.6339983304395553,50311.19558062014
std,0.2974422400885823,0.03940492638748814,0.05711225940709521,0.5670347113454347,26581.148211075168
min,0.015160655321310643,0.0,0.016257075797321552,1.5,19845.0
25%,0.04252156250919902,0.059757608855468505,0.06470748013213118,2.13,31445.0
50%,0.37741503036038165,0.09313826499072739,0.11803713527851459,2.69,39163.0
75%,0.670183263287303,0.1209335934677361,0.14901903235274197,3.03,65770.0
max,0.9024555232361496,0.15808515930624337,0.2338245055090933,3.72,140114.0
