,perc_white,perc_nointernet,perc_poverty,avghhsize,medianinc
count,675.0,675.0,675.0,675.0,675.0
mean,0.2320624103531593,0.10726961245746669,0.13696669476243148,2.8710962962962965,36705.462222222224
std,0.22040170757592403,0.03221392653078079,0.05099873991492454,0.4739986927650105,13465.890701305481
min,0.015160655321310643,0.0,0.02795954788816181,1.5,19845.0
25%,0.03606720484815594,0.09313826499072739,0.11334900956578478,2.67,27617.0
50%,0.15927175769695454,0.10209315220404769,0.13324261402760929,2.91,33959.0
75%,0.39130554589331334,0.13771213073538655,0.17692463944749137,3.08,41226.0
max,0.8499252402990388,0.15808515930624337,0.2338245055090933,3.72,139179.0
