,perc_white,perc_nointernet,perc_poverty,avghhsize,medianinc
count,49501.0,49501.0,49501.0,49501.0,49501.0
mean,0.3208742874554502,0.09762875476297703,0.12487038860563195,2.7059275570190495,44474.59734146785
std,0.2825651379619649,0.03722157507087752,0.05618258786217878,0.5336799732639587,22411.31427145006
min,0.015160655321310643,0.0,0.016257075797321552,1.5,19845.0
25%,0.03606720484815594,0.07194727964090689,0.06981362664222426,2.35,28411.0
50%,0.2798184920590276,0.09850172972041317,0.12905556759881495,2.71,38206.0
75%,0.5705732457685057,0.12567179102612175,0.15307303855154575,3.04,50488.0
max,0.9024555232361496,0.15808515930624337,0.2338245055090933,3.72,140114.0
